respondent,age_years,gender_text,edu_code,employment_text,annual_household_income,decision_control,trust_score,community_flag,module_work,sample_weight
VW18-001,23,woman,1,working,29500,5.000,3,yes,1,1.070
VW18-002,26,man,2,working,36800,1.000,4,no,1,1.140
VW18-003,29,nonbinary,3,working,44100,2.000,5,no,1,1.210
VW18-004,32,woman,1,working,51400,3.000,1,no,1,1.280
VW18-005,35,man,2,seeking,58700,,2,yes,0,0.720
VW18-006,38,nonbinary,3,outside,66000,,3,no,0,0.790
VW18-007,41,woman,1,working,73300,1.000,4,no,1,0.860
VW18-008,44,man,2,working,80600,2.000,5,no,1,0.930
VW18-009,47,nonbinary,3,working,87900,3.000,1,yes,1,1.000
VW18-010,50,woman,1,working,95200,4.000,2,no,1,1.070
VW18-011,53,man,2,seeking,NA_CODE,,3,no,0,1.140
VW18-012,56,nonbinary,3,outside,109800,,4,no,0,1.210
VW18-013,59,woman,1,working,117100,2.000,5,yes,1,1.280
VW18-014,62,man,2,working,124400,3.000,1,no,1,0.720
VW18-015,65,nonbinary,3,working,131700,4.000,2,no,1,0.790
VW18-016,68,woman,1,working,139000,5.000,3,no,1,0.860
VW18-017,71,man,2,seeking,30300,,99,yes,0,0.930
VW18-018,74,nonbinary,3,outside,37600,,5,no,0,1.000
VW18-019,19,woman,1,working,44900,3.000,1,no,1,1.070
VW18-020,22,man,2,working,52200,4.000,2,no,1,1.140
VW18-021,25,nonbinary,3,working,59500,5.000,3,yes,1,1.210
VW18-022,28,woman,1,working,66800,1.000,4,no,1,1.280
VW18-023,31,man,2,seeking,74100,,5,no,0,0.720
VW18-024,34,nonbinary,3,outside,81400,,1,no,0,0.790
