id,respondent_age,gender_code,qualification,employment_code,monthly_personal_earnings,autonomy_score,institution_score,community_activity,work_route
VW21-001,25,10,basic,1,1800,3.000,4,1,eligible
VW21-002,28,20,upper,1,2040,4.000,5,0,eligible
VW21-003,31,30,degree,1,2280,5.000,1,0,eligible
VW21-004,34,10,basic,1,2520,1.000,2,1,eligible
VW21-005,37,20,upper,2,2760,,3,0,not_eligible
VW21-006,40,30,degree,3,3000,,4,0,not_eligible
VW21-007,43,10,basic,1,3240,4.000,5,1,eligible
VW21-008,46,20,upper,1,3480,5.000,1,0,eligible
VW21-009,49,30,degree,1,3720,1.000,2,0,eligible
VW21-010,52,10,basic,1,3960,2.000,3,1,eligible
VW21-011,55,20,upper,2,4200,,4,0,not_eligible
VW21-012,58,30,degree,3,4440,,5,0,not_eligible
VW21-013,61,10,basic,1,4680,5.000,1,1,eligible
VW21-014,64,20,upper,1,4920,1.000,2,0,eligible
VW21-015,67,30,degree,1,5160,98.000,3,0,eligible
VW21-016,70,10,basic,1,5400,3.000,4,1,eligible
VW21-017,73,20,upper,2,5640,,5,0,not_eligible
VW21-018,18,30,degree,3,5880,,1,0,not_eligible
VW21-019,21,10,basic,1,6120,1.000,99,1,eligible
VW21-020,24,20,upper,1,6360,2.000,3,0,eligible
VW21-021,27,30,degree,1,6600,3.000,4,0,eligible
VW21-022,30,10,basic,1,6840,4.000,5,1,eligible
VW21-023,33,20,upper,2,7080,,1,0,not_eligible
VW21-024,36,30,degree,3,7320,,2,0,not_eligible
