dataset_id,survey_id,wave_id,canonical_variable,source_variable,review_status,transform,source_present,rows,raw_nonmissing_n,valid_source_n,declared_missing_n,system_missing_n,structural_missing_n,unexpected_n
civiclife_2018,civiclife,2018,age,age_years,approved,identity,True,24,24,24,0,0,0,0
civiclife_2018,civiclife,2018,community_participation,community_member,approved,categorical_recode,True,24,24,24,0,0,0,0
civiclife_2018,civiclife,2018,education,educ3,approved,categorical_recode,True,24,24,24,0,0,0,0
civiclife_2018,civiclife,2018,employment,labour,approved,categorical_recode,True,24,24,24,0,0,0,0
civiclife_2018,civiclife,2018,gender,sex,approved,categorical_recode,True,24,24,24,0,0,0,0
civiclife_2018,civiclife,2018,household_income,hh_income_annual,approved,identity,True,24,24,23,1,0,0,0
civiclife_2018,civiclife,2018,institutional_trust,trust_index,approved,identity,True,24,24,23,1,0,0,0
civiclife_2018,civiclife,2018,survey_weight,weight,approved,identity,True,24,24,24,0,0,0,0
civiclife_2018,civiclife,2018,work_autonomy,auto_rev,approved,reverse_scale,True,24,16,15,1,0,8,0
civiclife_2018,civiclife,2018,work_module,work_module,approved,categorical_recode,True,24,24,24,0,0,0,0
civiclife_2020,civiclife,2020,age,age,approved,identity,True,24,24,24,0,0,0,0
civiclife_2020,civiclife,2020,community_participation,participated,approved,categorical_recode,True,24,24,24,0,0,0,0
civiclife_2020,civiclife,2020,education,education_code,approved,categorical_recode,True,24,24,24,0,0,0,0
civiclife_2020,civiclife,2020,employment,employment_code,approved,categorical_recode,True,24,24,24,0,0,0,0
civiclife_2020,civiclife,2020,gender,gender_code,approved,categorical_recode,True,24,24,24,0,0,0,0
civiclife_2020,civiclife,2020,household_income,income_year,approved,identity,True,24,24,23,1,0,0,0
civiclife_2020,civiclife,2020,institutional_trust,trust_score,approved,identity,True,24,24,23,1,0,0,0
civiclife_2020,civiclife,2020,survey_weight,survey_weight,approved,identity,True,24,24,24,0,0,0,0
civiclife_2020,civiclife,2020,work_autonomy,autonomy_0_4,approved,scale_shift,True,24,16,15,1,0,8,0
civiclife_2020,civiclife,2020,work_module,module_flag,approved,categorical_recode,True,24,24,24,0,0,0,0
civiclife_2022,civiclife,2022,age,age_yrs,approved,identity,True,24,24,24,0,0,0,0
civiclife_2022,civiclife,2022,community_participation,community_part,approved,categorical_recode,True,24,24,24,0,0,0,0
civiclife_2022,civiclife,2022,education,edu_level,approved,categorical_recode,True,24,24,24,0,0,0,0
civiclife_2022,civiclife,2022,employment,employ,approved,categorical_recode,True,24,24,24,0,0,0,0
civiclife_2022,civiclife,2022,gender,gender,approved,categorical_recode,True,24,24,24,0,0,0,0
civiclife_2022,civiclife,2022,household_income,household_income,approved,identity,True,24,24,23,1,0,0,0
civiclife_2022,civiclife,2022,institutional_trust,trust_index,ambiguous,,True,24,24,0,0,0,0,0
civiclife_2022,civiclife,2022,survey_weight,weight,approved,identity,True,24,24,24,0,0,0,0
civiclife_2022,civiclife,2022,work_autonomy,control_score,approved,identity,True,24,16,15,1,0,8,0
civiclife_2022,civiclife,2022,work_module,work_module,approved,categorical_recode,True,24,24,24,0,0,0,0
household_paths_2019,household_paths,2019,age,age,approved,identity,True,24,24,24,0,0,0,0
household_paths_2019,household_paths,2019,community_participation,,unavailable,,False,24,0,0,0,0,0,0
household_paths_2019,household_paths,2019,education,schooling_years,approved,numeric_bin,True,24,24,23,1,0,0,0
