dataset_id,survey_id,wave_id,respondent_id,age,gender,education,employment,household_income,work_autonomy,institutional_trust,community_participation,survey_weight,work_module
civiclife_2018,civiclife,2018,1001,18,man,lower_secondary_or_less,employed,24000.0,5.0,3.0,yes,0.72,eligible
civiclife_2018,civiclife,2018,1002,21,woman,upper_secondary,employed,31300.0,4.0,4.0,no,0.79,eligible
civiclife_2018,civiclife,2018,1003,24,man,tertiary,employed,38600.0,3.0,5.0,no,0.86,eligible
civiclife_2018,civiclife,2018,1004,27,woman,lower_secondary_or_less,employed,45900.0,2.0,1.0,yes,0.93,eligible
civiclife_2018,civiclife,2018,1005,30,man,upper_secondary,unemployed,53200.0,,2.0,no,1.0,not_eligible
civiclife_2018,civiclife,2018,1006,33,woman,tertiary,not_in_labor_force,60500.0,,3.0,no,1.07,not_eligible
civiclife_2018,civiclife,2018,1007,36,man,lower_secondary_or_less,employed,67800.0,4.0,4.0,yes,1.14,eligible
civiclife_2018,civiclife,2018,1008,39,woman,upper_secondary,employed,,3.0,5.0,no,1.21,eligible
civiclife_2018,civiclife,2018,1009,42,man,tertiary,employed,82400.0,,1.0,no,1.28,eligible
civiclife_2018,civiclife,2018,1010,45,woman,lower_secondary_or_less,employed,89700.0,1.0,,yes,0.72,eligible
civiclife_2018,civiclife,2018,1011,48,man,upper_secondary,unemployed,97000.0,,3.0,no,0.79,not_eligible
civiclife_2018,civiclife,2018,1012,51,woman,tertiary,not_in_labor_force,104300.0,,4.0,no,0.86,not_eligible
civiclife_2018,civiclife,2018,1013,54,man,lower_secondary_or_less,employed,111600.0,3.0,5.0,yes,0.93,eligible
civiclife_2018,civiclife,2018,1014,57,woman,upper_secondary,employed,118900.0,2.0,1.0,no,1.0,eligible
civiclife_2018,civiclife,2018,1015,60,man,tertiary,employed,126200.0,1.0,2.0,no,1.07,eligible
civiclife_2018,civiclife,2018,1016,63,woman,lower_secondary_or_less,employed,133500.0,5.0,3.0,yes,1.14,eligible
civiclife_2018,civiclife,2018,1017,66,man,upper_secondary,unemployed,24800.0,,4.0,no,1.21,not_eligible
civiclife_2018,civiclife,2018,1018,69,woman,tertiary,not_in_labor_force,32100.0,,5.0,no,1.28,not_eligible
civiclife_2018,civiclife,2018,1019,72,man,lower_secondary_or_less,employed,39400.0,2.0,1.0,yes,0.72,eligible
civiclife_2018,civiclife,2018,1020,75,woman,upper_secondary,employed,46700.0,1.0,2.0,no,0.79,eligible
civiclife_2018,civiclife,2018,1021,20,man,tertiary,employed,54000.0,5.0,3.0,no,0.86,eligible
civiclife_2018,civiclife,2018,1022,23,woman,lower_secondary_or_less,employed,61300.0,4.0,4.0,yes,0.93,eligible
civiclife_2018,civiclife,2018,1023,26,man,upper_secondary,unemployed,68600.0,,5.0,no,1.0,not_eligible
civiclife_2018,civiclife,2018,1024,29,woman,tertiary,not_in_labor_force,75900.0,,1.0,no,1.07,not_eligible
civiclife_2020,civiclife,2020,2001,20,woman,lower_secondary_or_less,employed,26200.0,2.0,2.0,yes,0.86,eligible
civiclife_2020,civiclife,2020,2002,23,man,upper_secondary,employed,33500.0,3.0,3.0,yes,0.93,eligible
civiclife_2020,civiclife,2020,2003,26,woman,tertiary,employed,40800.0,4.0,4.0,no,1.0,eligible
civiclife_2020,civiclife,2020,2004,29,man,lower_secondary_or_less,employed,48100.0,5.0,5.0,no,1.07,eligible
civiclife_2020,civiclife,2020,2005,32,woman,upper_secondary,unemployed,55400.0,,1.0,yes,1.14,not_eligible
civiclife_2020,civiclife,2020,2006,35,man,tertiary,not_in_labor_force,,,2.0,yes,1.21,not_eligible
civiclife_2020,civiclife,2020,2007,38,woman,lower_secondary_or_less,employed,70000.0,3.0,3.0,no,1.28,eligible
civiclife_2020,civiclife,2020,2008,41,man,upper_secondary,employed,77300.0,4.0,4.0,no,0.72,eligible
civiclife_2020,civiclife,2020,2009,44,woman,tertiary,employed,84600.0,5.0,5.0,yes,0.79,eligible
civiclife_2020,civiclife,2020,2010,47,man,lower_secondary_or_less,employed,91900.0,1.0,1.0,yes,0.86,eligible
civiclife_2020,civiclife,2020,2011,50,woman,upper_secondary,unemployed,99200.0,,2.0,no,0.93,not_eligible
civiclife_2020,civiclife,2020,2012,53,man,tertiary,not_in_labor_force,106500.0,,,no,1.0,not_eligible
civiclife_2020,civiclife,2020,2013,56,woman,lower_secondary_or_less,employed,113800.0,4.0,4.0,yes,1.07,eligible
civiclife_2020,civiclife,2020,2014,59,man,upper_secondary,employed,121100.0,5.0,5.0,yes,1.14,eligible
civiclife_2020,civiclife,2020,2015,62,woman,tertiary,employed,128400.0,,1.0,no,1.21,eligible
civiclife_2020,civiclife,2020,2016,65,man,lower_secondary_or_less,employed,135700.0,2.0,2.0,no,1.28,eligible
civiclife_2020,civiclife,2020,2017,68,woman,upper_secondary,unemployed,27000.0,,3.0,yes,0.72,not_eligible
civiclife_2020,civiclife,2020,2018,71,man,tertiary,not_in_labor_force,34300.0,,4.0,yes,0.79,not_eligible
civiclife_2020,civiclife,2020,2019,74,woman,lower_secondary_or_less,employed,41600.0,5.0,5.0,no,0.86,eligible
civiclife_2020,civiclife,2020,2020,19,man,upper_secondary,employed,48900.0,1.0,1.0,no,0.93,eligible
civiclife_2020,civiclife,2020,2021,22,woman,tertiary,employed,56200.0,2.0,2.0,yes,1.0,eligible
civiclife_2020,civiclife,2020,2022,25,man,lower_secondary_or_less,employed,63500.0,3.0,3.0,yes,1.07,eligible
civiclife_2020,civiclife,2020,2023,28,woman,upper_secondary,unemployed,70800.0,,4.0,no,1.14,not_eligible
civiclife_2020,civiclife,2020,2024,31,man,tertiary,not_in_labor_force,78100.0,,5.0,no,1.21,not_eligible
civiclife_2022,civiclife,2022,3001,22,woman,lower_secondary_or_less,employed,28400.0,3.0,,no,1.0,eligible
civiclife_2022,civiclife,2022,3002,25,woman,upper_secondary,employed,35700.0,4.0,,yes,1.07,eligible
civiclife_2022,civiclife,2022,3003,28,man,tertiary,employed,43000.0,5.0,,no,1.14,eligible
civiclife_2022,civiclife,2022,3004,31,man,lower_secondary_or_less,employed,50300.0,1.0,,no,1.21,eligible
civiclife_2022,civiclife,2022,3005,34,nonbinary_or_other,upper_secondary,unemployed,57600.0,,,yes,1.28,not_eligible
civiclife_2022,civiclife,2022,3006,37,woman,tertiary,not_in_labor_force,64900.0,,,no,0.72,not_eligible
civiclife_2022,civiclife,2022,3007,40,woman,lower_secondary_or_less,employed,72200.0,4.0,,no,0.79,eligible
civiclife_2022,civiclife,2022,3008,43,man,upper_secondary,employed,79500.0,5.0,,yes,0.86,eligible
civiclife_2022,civiclife,2022,3009,46,man,tertiary,employed,86800.0,1.0,,no,0.93,eligible
civiclife_2022,civiclife,2022,3010,49,nonbinary_or_other,lower_secondary_or_less,employed,94100.0,2.0,,no,1.0,eligible
civiclife_2022,civiclife,2022,3011,52,woman,upper_secondary,unemployed,101400.0,,,yes,1.07,not_eligible
civiclife_2022,civiclife,2022,3012,55,woman,tertiary,not_in_labor_force,108700.0,,,no,1.14,not_eligible
civiclife_2022,civiclife,2022,3013,58,man,lower_secondary_or_less,employed,116000.0,5.0,,no,1.21,eligible
civiclife_2022,civiclife,2022,3014,61,man,upper_secondary,employed,,1.0,,yes,1.28,eligible
civiclife_2022,civiclife,2022,3015,64,nonbinary_or_other,tertiary,employed,130600.0,2.0,,no,0.72,eligible
civiclife_2022,civiclife,2022,3016,67,woman,lower_secondary_or_less,employed,137900.0,3.0,,no,0.79,eligible
civiclife_2022,civiclife,2022,3017,70,woman,upper_secondary,unemployed,29200.0,,,yes,0.86,not_eligible
civiclife_2022,civiclife,2022,3018,73,man,tertiary,not_in_labor_force,36500.0,,,no,0.93,not_eligible
civiclife_2022,civiclife,2022,3019,18,man,lower_secondary_or_less,employed,43800.0,1.0,,no,1.0,eligible
