dataset_id,survey_id,wave_id,canonical_variable,source_variable,review_status,executable,transform,routing_indicator,missing_rule_count,review_note,comparability_warning,block_reason,rule_version
civiclife_2018,civiclife,2018,age,age_years,approved,True,identity,,0,,,,1
civiclife_2018,civiclife,2018,community_participation,community_member,approved,True,categorical_recode,,0,,,,1
civiclife_2018,civiclife,2018,education,educ3,approved,True,categorical_recode,,0,,,,1
civiclife_2018,civiclife,2018,employment,labour,approved,True,categorical_recode,,0,,,,1
civiclife_2018,civiclife,2018,gender,sex,approved,True,categorical_recode,,0,,,,1
civiclife_2018,civiclife,2018,household_income,hh_income_annual,approved,True,identity,,1,,,,1
civiclife_2018,civiclife,2018,institutional_trust,trust_index,approved,True,identity,,1,,,,1
civiclife_2018,civiclife,2018,survey_weight,weight,approved,True,identity,,0,,,,1
civiclife_2018,civiclife,2018,work_autonomy,auto_rev,approved,True,reverse_scale,work_module,1,,,,1
civiclife_2018,civiclife,2018,work_module,work_module,approved,True,categorical_recode,,0,,,,1
civiclife_2020,civiclife,2020,age,age,approved,True,identity,,0,,,,1
civiclife_2020,civiclife,2020,community_participation,participated,approved,True,categorical_recode,,0,,,,1
civiclife_2020,civiclife,2020,education,education_code,approved,True,categorical_recode,,0,,,,1
civiclife_2020,civiclife,2020,employment,employment_code,approved,True,categorical_recode,,0,,,,1
civiclife_2020,civiclife,2020,gender,gender_code,approved,True,categorical_recode,,0,,,,1
civiclife_2020,civiclife,2020,household_income,income_year,approved,True,identity,,1,,,,1
civiclife_2020,civiclife,2020,institutional_trust,trust_score,approved,True,identity,,1,,,,1
civiclife_2020,civiclife,2020,survey_weight,survey_weight,approved,True,identity,,0,,,,1
civiclife_2020,civiclife,2020,work_autonomy,autonomy_0_4,approved,True,scale_shift,module_flag,1,,,,1
civiclife_2020,civiclife,2020,work_module,module_flag,approved,True,categorical_recode,,0,,,,1
civiclife_2022,civiclife,2022,age,age_yrs,approved,True,identity,,0,,,,1
civiclife_2022,civiclife,2022,community_participation,community_part,approved,True,categorical_recode,,0,,,,1
civiclife_2022,civiclife,2022,education,edu_level,approved,True,categorical_recode,,0,,,,1
civiclife_2022,civiclife,2022,employment,employ,approved,True,categorical_recode,,0,,,,1
civiclife_2022,civiclife,2022,gender,gender,approved,True,categorical_recode,,0,,,,1
civiclife_2022,civiclife,2022,household_income,household_income,approved,True,identity,,1,,,,1
civiclife_2022,civiclife,2022,institutional_trust,trust_index,ambiguous,False,,,0,The 2022 label describes satisfaction with local services rather than trust.,Matching numeric endpoints do not resolve changed meaning.,The 2022 label describes satisfaction with local services rather than trust.,1
civiclife_2022,civiclife,2022,survey_weight,weight,approved,True,identity,,0,,,,1
civiclife_2022,civiclife,2022,work_autonomy,control_score,approved,True,identity,work_module,1,,,,1
civiclife_2022,civiclife,2022,work_module,work_module,approved,True,categorical_recode,,0,,,,1
household_paths_2019,household_paths,2019,age,age,approved,True,identity,,0,,,,1
household_paths_2019,household_paths,2019,community_participation,,unavailable,False,,,0,No community participation field was generated for this wave.,,No community participation field was generated for this wave.,1
household_paths_2019,household_paths,2019,education,schooling_years,approved,True,numeric_bin,,1,,,,1
household_paths_2019,household_paths,2019,employment,employment_code,approved,True,categorical_recode,,0,,,,1
