dataset_id,survey_id,wave_id,canonical_variable,source_variable,missing_class,count
civiclife_2018,civiclife,2018,age,age_years,structural_missing,0
civiclife_2018,civiclife,2018,age,age_years,system_missing,0
civiclife_2018,civiclife,2018,age,age_years,unexpected_source_value,0
civiclife_2018,civiclife,2018,community_participation,community_member,structural_missing,0
civiclife_2018,civiclife,2018,community_participation,community_member,system_missing,0
civiclife_2018,civiclife,2018,community_participation,community_member,unexpected_source_value,0
civiclife_2018,civiclife,2018,education,educ3,structural_missing,0
civiclife_2018,civiclife,2018,education,educ3,system_missing,0
civiclife_2018,civiclife,2018,education,educ3,unexpected_source_value,0
civiclife_2018,civiclife,2018,employment,labour,structural_missing,0
civiclife_2018,civiclife,2018,employment,labour,system_missing,0
civiclife_2018,civiclife,2018,employment,labour,unexpected_source_value,0
civiclife_2018,civiclife,2018,gender,sex,structural_missing,0
civiclife_2018,civiclife,2018,gender,sex,system_missing,0
civiclife_2018,civiclife,2018,gender,sex,unexpected_source_value,0
civiclife_2018,civiclife,2018,household_income,hh_income_annual,not_stated,1
civiclife_2018,civiclife,2018,household_income,hh_income_annual,structural_missing,0
civiclife_2018,civiclife,2018,household_income,hh_income_annual,system_missing,0
civiclife_2018,civiclife,2018,household_income,hh_income_annual,unexpected_source_value,0
civiclife_2018,civiclife,2018,institutional_trust,trust_index,not_stated,1
civiclife_2018,civiclife,2018,institutional_trust,trust_index,structural_missing,0
civiclife_2018,civiclife,2018,institutional_trust,trust_index,system_missing,0
civiclife_2018,civiclife,2018,institutional_trust,trust_index,unexpected_source_value,0
civiclife_2018,civiclife,2018,survey_weight,weight,structural_missing,0
civiclife_2018,civiclife,2018,survey_weight,weight,system_missing,0
civiclife_2018,civiclife,2018,survey_weight,weight,unexpected_source_value,0
civiclife_2018,civiclife,2018,work_autonomy,auto_rev,dont_know,1
civiclife_2018,civiclife,2018,work_autonomy,auto_rev,structural_missing,8
civiclife_2018,civiclife,2018,work_autonomy,auto_rev,system_missing,0
civiclife_2018,civiclife,2018,work_autonomy,auto_rev,unexpected_source_value,0
civiclife_2018,civiclife,2018,work_module,work_module,structural_missing,0
civiclife_2018,civiclife,2018,work_module,work_module,system_missing,0
civiclife_2018,civiclife,2018,work_module,work_module,unexpected_source_value,0
civiclife_2020,civiclife,2020,age,age,structural_missing,0
civiclife_2020,civiclife,2020,age,age,system_missing,0
civiclife_2020,civiclife,2020,age,age,unexpected_source_value,0
civiclife_2020,civiclife,2020,community_participation,participated,structural_missing,0
civiclife_2020,civiclife,2020,community_participation,participated,system_missing,0
civiclife_2020,civiclife,2020,community_participation,participated,unexpected_source_value,0
civiclife_2020,civiclife,2020,education,education_code,structural_missing,0
civiclife_2020,civiclife,2020,education,education_code,system_missing,0
civiclife_2020,civiclife,2020,education,education_code,unexpected_source_value,0
civiclife_2020,civiclife,2020,employment,employment_code,structural_missing,0
civiclife_2020,civiclife,2020,employment,employment_code,system_missing,0
civiclife_2020,civiclife,2020,employment,employment_code,unexpected_source_value,0
civiclife_2020,civiclife,2020,gender,gender_code,structural_missing,0
civiclife_2020,civiclife,2020,gender,gender_code,system_missing,0
civiclife_2020,civiclife,2020,gender,gender_code,unexpected_source_value,0
civiclife_2020,civiclife,2020,household_income,income_year,not_stated,1
civiclife_2020,civiclife,2020,household_income,income_year,structural_missing,0
civiclife_2020,civiclife,2020,household_income,income_year,system_missing,0
civiclife_2020,civiclife,2020,household_income,income_year,unexpected_source_value,0
civiclife_2020,civiclife,2020,institutional_trust,trust_score,not_stated,1
civiclife_2020,civiclife,2020,institutional_trust,trust_score,structural_missing,0
civiclife_2020,civiclife,2020,institutional_trust,trust_score,system_missing,0
civiclife_2020,civiclife,2020,institutional_trust,trust_score,unexpected_source_value,0
civiclife_2020,civiclife,2020,survey_weight,survey_weight,structural_missing,0
civiclife_2020,civiclife,2020,survey_weight,survey_weight,system_missing,0
civiclife_2020,civiclife,2020,survey_weight,survey_weight,unexpected_source_value,0
civiclife_2020,civiclife,2020,work_autonomy,autonomy_0_4,dont_know,1
civiclife_2020,civiclife,2020,work_autonomy,autonomy_0_4,structural_missing,8
civiclife_2020,civiclife,2020,work_autonomy,autonomy_0_4,system_missing,0
civiclife_2020,civiclife,2020,work_autonomy,autonomy_0_4,unexpected_source_value,0
civiclife_2020,civiclife,2020,work_module,module_flag,structural_missing,0
civiclife_2020,civiclife,2020,work_module,module_flag,system_missing,0
civiclife_2020,civiclife,2020,work_module,module_flag,unexpected_source_value,0
civiclife_2022,civiclife,2022,age,age_yrs,structural_missing,0
