dataset_id,survey_id,wave_id,position,variable,variable_label,storage_type,value_label_set,value_labels_present,source_format
civiclife_2018,civiclife,2018,1,case_id,Synthetic respondent identifier,F8.2,,False,spss
civiclife_2018,civiclife,2018,2,age_years,Age in completed years,F8.2,,False,spss
civiclife_2018,civiclife,2018,3,sex,Gender code,F8.2,labels0,True,spss
civiclife_2018,civiclife,2018,4,educ3,Highest education group,F8.2,labels1,True,spss
civiclife_2018,civiclife,2018,5,labour,Current employment status,F8.2,labels2,True,spss
civiclife_2018,civiclife,2018,6,hh_income_annual,Annual household income in fictional credits,F8.2,,False,spss
civiclife_2018,civiclife,2018,7,auto_rev,"Work autonomy, reverse direction",F8.2,,False,spss
civiclife_2018,civiclife,2018,8,trust_index,Trust in public institutions,F8.2,,False,spss
civiclife_2018,civiclife,2018,9,community_member,Community activity participation,F8.2,labels3,True,spss
civiclife_2018,civiclife,2018,10,work_module,Eligible for work module,F8.2,labels4,True,spss
civiclife_2018,civiclife,2018,11,weight,Synthetic survey weight,F8.2,,False,spss
civiclife_2020,civiclife,2020,1,respondent_id,Synthetic respondent identifier,F8.2,,False,spss
civiclife_2020,civiclife,2020,2,age,Age in completed years,F8.2,,False,spss
civiclife_2020,civiclife,2020,3,gender_code,Gender code,F8.2,labels0,True,spss
civiclife_2020,civiclife,2020,4,education_code,Highest education code,F8.2,labels1,True,spss
civiclife_2020,civiclife,2020,5,employment_code,Current employment code,F8.2,labels2,True,spss
civiclife_2020,civiclife,2020,6,income_year,Annual household income in fictional credits,F8.2,,False,spss
civiclife_2020,civiclife,2020,7,autonomy_0_4,Work autonomy from zero to four,F8.2,,False,spss
civiclife_2020,civiclife,2020,8,trust_score,Trust in public institutions,F8.2,,False,spss
civiclife_2020,civiclife,2020,9,participated,Community activity participation,F8.2,labels3,True,spss
civiclife_2020,civiclife,2020,10,module_flag,Eligible for work module,F8.2,labels4,True,spss
civiclife_2020,civiclife,2020,11,survey_weight,Synthetic survey weight,F8.2,,False,spss
civiclife_2022,civiclife,2022,1,rid,Synthetic respondent identifier,F8.2,,False,spss
civiclife_2022,civiclife,2022,2,age_yrs,Age in completed years,F8.2,,False,spss
civiclife_2022,civiclife,2022,3,gender,Gender code,F8.2,labels0,True,spss
civiclife_2022,civiclife,2022,4,edu_level,Highest education group,A8,,False,spss
civiclife_2022,civiclife,2022,5,employ,Current employment status,F8.2,labels1,True,spss
civiclife_2022,civiclife,2022,6,household_income,Annual household income in fictional credits,F8.2,,False,spss
civiclife_2022,civiclife,2022,7,control_score,Work autonomy score,F8.2,,False,spss
civiclife_2022,civiclife,2022,8,trust_index,Satisfaction with local services,F8.2,,False,spss
civiclife_2022,civiclife,2022,9,community_part,Community activity participation,F8.2,labels2,True,spss
civiclife_2022,civiclife,2022,10,work_module,Eligible for work module,F8.2,labels3,True,spss
civiclife_2022,civiclife,2022,11,weight,Synthetic survey weight,F8.2,,False,spss
household_paths_2019,household_paths,2019,1,pid,Synthetic respondent identifier,l %12.0g,,False,stata
